Date (MM/DD/YY H:MM:SS AM/PM),Cell Line,ID,Name,Initial Volume (mL),Sample Volume (mL),Volume Before Sampling (mL),Volume After Sampling (mL),Feed Media Added (mL),base,osmo,vcd,dcd,tcd,IgG (mg/L),NH4+,Na+,Titer,PCV,pCO2,pHoff,pO2,air sparge,air sparge sp,air sparge total,co2 sparge,co2 sparge total,do2 controller output,do2 primary,do2 secondary,flowrate overlay,oxygen sparge,oxygen sparge total,ph controller output,ph primary,pressure exhaust valve,sparge total,temperature,temperature jacket,weight load cell,Titer_range,Titer_group,viab,Titer_category,Run Time (day),Run Time (hr),glc,lac,glc_after,lac_after,ccell,ivcc,IgG (mg),cglc,clac,mu,IgG (mg/10^9 cells/hr),qglc,qlac,mu_poly,qIgG_poly (mg/10^9 cells/hr),qglc_poly,qlac_poly,mu_s
2022-01-01 00:00:00,80L,294592,Genentech,80000,0,65190.53925,65190.53925,0,0,283.7487836,0.415612012,0.0119986053275206,0.42761061732752,0,1.492941363,91.04239513,1.059949311,0.066466243,42.2334357,7.175178401,146.1958052,0.009822608,0,125.059288,0.024125903,25.12951469,0,91.36422867,90.21690903,5.002908707,0.004518425,0,47.54805054,7.228372812,36.2401403,0.013406179,36.9248896,37.41895348,0,1.05-1.10,Middle 60%,97.19403475000016,0,0,0,39.8709584082683,3.868316241119,,,0,0,0,0,0,,,,,,0,-1.143551282657623,0.5939848714554424,-0.14058339977568546
2022-01-01 10:00:00,80L,294592,Genentech,80000,0,73579.87564,73579.87564,0,26.686667,279.1393086,0.404801201,0.0120010397260696,0.416802240726069,0,1.939347047,90.64022789,1.059949311,0.089396175,35.27594285,7.199856417,130.1091158,0.558426956,11.0443208,115.0335259,0.025851515,0,11.04616314,21.50428204,41.25399784,5.001564136,0.003445682,2.951404839,47.43948502,7.229690604,36.22465942,0.558754696,37.05793636,37.37428928,0,1.05-1.10,Middle 60%,97.12068733000015,0,0,10,38.7525248118297,6.09406041296625,38.7525248118297,6.09406041296625,2691.250847445172,4.102066065,0,-252.1966773411115,196.2225855806231,0.009463041564354794,0,-0.8867800793585198,0.6899626190465812,-0.005622071311675371,0,-0.2457858130207308,0.683772598379491,0.008571619907663336
2022-01-01 20:00:00,80L,294592,Genentech,80000,0,73244.0349599999,73244.0349599999,0,26.686667,279.2868658,0.469223899,0.0184710890710669,0.487694988071066,0,2.385752731,90.23806066,1.059949311,0.123071053,28.31845,7.208973204,114.0224264,0.857580017,17.27533523,531.0970682,0.022456919,0,17.28923111,29.61936342,42.90074638,5.002750821,0.007459905,6.092490344,47.78486366,7.230196877,36.52498753,0.856753579,36.9626825,37.38183594,0,1.05-1.10,Middle 60%,96.21257353000018,0,0,20,37.8511132629498,8.85901947158081,37.8511132629498,8.85901947158081,7273.880481365992,8.472191565,0,-173.1589840570791,396.6927101397041,0.01428654737884833,0,0.2464034495519787,0.6249743403563088,0.02758872945428622,0,0.2693180772009985,0.6835901200326517,0.027244208035849926
2022-01-02 06:00:00,80L,294592,Genentech,80000,0,72807.00722,72807.00722,0,26.686667,280.3494461,0.650594667,0.0304416657858063,0.681036332785806,0,2.845993934,90.52033768,1.059949311,0.166908724,22.46554166,7.192177556,106.9976211,0.784442646,15.54956194,1052.000825,0.004128079,0,18.35915813,27.81793325,36.0442979,5.000931063,0.061182292,12.86006683,49.382649,7.227377062,35.97661018,0.84507303,37.00623703,37.45089165,0,1.05-1.10,Middle 60%,95.53009666000004,0,1,30,36.0693207664468,12.3846623445825,36.0693207664468,12.3846623445825,20273.87943650502,14.071284395,0,-26.8900184138557,649.5125789911996,0.03180984219260143,0,0.3579071606730153,0.6186277521307888,0.03411191961570875,0,0.3957676035073663,0.5378125502294994,0.018149254522385472
2022-01-02 16:00:00,80L,294592,Genentech,80000,0,72317.21588,72317.21588,0,27.263264,277.4213549,0.881518367,0.0411432278509312,0.922661594850931,0,3.326305588,91.79550151,1.059949311,0.22202348,18.21499517,7.164092457,113.1184081,0.9261613,18.61367493,1573.673546,0,0,21.10197508,29.8541831,34.6908358,5.001971292,0.067075557,23.15847427,50,7.183341336,35.7888414,0.992383961,37.00623703,37.4261335,0,1.05-1.10,Middle 60%,95.54081062000003,0,1,40,33.2720100246453,16.2420564387211,33.2720100246453,16.2420564387211,36654.98286746661,21.731849565,0,193.070147335534,922.4026800660573,0.0294844753323998,0,0.3959080112326568,0.4911770130448059,0.02461374644825105,0,0.3317944002106344,0.4127255284649007,0.022042389092696957
2022-01-03 02:00:00,80L,294592,Genentech,80000,0,71745.96947,71745.96947,0,93.150458,279.0579173,1.015951264,0.0628907954565927,1.07884205945659,0,3.806673912,93.18718553,1.059949311,0.30202477,14.249136,7.157986351,118.5186109,0.889960123,17.7654414,2097.74761,0,0,21.78561884,30.1183168,32.63049452,5.002903633,0.112280962,44.03623882,50.05264992,7.176174603,35.48236366,0.995652709,37.00623703,37.32074398,0,1.05-1.10,Middle 60%,94.17052803000024,0,2,50,32.0914067030795,19.8035692384547,32.0914067030795,19.8035692384547,45796.43718889443,31.21919772,0,296.7801934808372,1168.648652231121,0.01338041126601706,0,0.1518011271564303,0.3604319689532851,0.01178591012182321,0,0.2259630566862879,0.3567123995098994,0.017719981284127856
2022-01-03 12:00:00,80L,294592,Genentech,80000,0,71316.81259,71316.81259,0,190.915169,281.6256776,0.945606437,0.0295145589967867,0.975120995996786,0,4.288008181,96.56496956,1.059949311,0.351543317,15.13580407,7.159597212,111.6363747,0.74555265,15.15751686,2589.632361,0,0,21.25364138,28.24321533,29.03731077,5.002908707,0.172213612,126.911881,50.08678822,7.17395474,35.08096668,0.919442865,36.99541664,37.35982117,0,1.05-1.10,Middle 60%,96.97324136000007,0,2,60,29.5744678556362,23.5788915408525,29.5744678556362,23.5788915408525,40343.66587036918,41.02698622499999,0,490.0524975399463,1429.393767350834,-0.007771463362368671,0,0.2754578437670803,0.3716222432041207,-0.004172958635629461,0,0.06974801379863133,0.363970340289713,-0.07798085955406239
2022-01-01 00:00:00,80L,294593,Genentech,80000,0,64253.63037,64253.63037,0,0,278.7364164,0.344148849,0.009302900774388,0.353451749774388,0,1.462151338,90.97150064,1.151675694,0.046252339,37.87239628,7.232692176,150.5848522,0,0,68.20054626,0.022163142,13.15090656,0,87.76107513,88.66870438,5.007587318,0,0,47.77065987,7.230138311,27.51418392,0,37.04875664,37.59125153,0,1.15-1.20,Top 20%,97.36798565,1,0,0,41.5297073813805,2.59814589253996,,,0,0,0,0,0,,,,,,0,-2.000251841165672,0.682824774581939,0.3760329129176839
2022-01-01 10:00:00,80L,294593,Genentech,80000,0,74480.98618,74480.98618,0,0,280.3449955,0.459686698,0.0149374684473744,0.474624166447374,0,1.862873126,91.16891777,1.151675694,0.070348731,33.90736,7.227038676,141.6846082,0.600564882,11.84174633,120.3616268,0.033327688,0,11.76597444,31.29718231,32.33762274,5.008599114,0,0,46.35269814,7.228348093,28.0010788,0.580006291,36.99265266,37.49189815,0,1.15-1.20,Top 20%,96.8527796300001,1,0,10,40.3689629043717,4.57836766207815,40.3689629043717,4.57836766207815,12125.10566496089,4.019177735,0,-338.2857007239582,174.0610327396053,0.04303442150364273,0,-1.200643510734874,0.6177773668333381,0.03406921734646266,0,-0.3138681259722468,0.559482880239279,0.08977619385602703
2022-01-01 20:00:00,80L,294593,Genentech,80000,0,74510.27741,74510.27741,0,0,279.9584675,0.453081399,0.0249852654433983,0.478066664443398,0,2.263594914,91.3663349,1.151675694,0.095729594,29.94232372,7.223866329,132.7843643,0.740689656,14.59107783,482.920018,0.025384065,0,14.62065983,29.81660421,30.28658663,5.007230139,0,1.049535275,47.26135254,7.231543746,29.21763983,0.715924708,36.99244972,37.47840424,0,1.15-1.20,Top 20%,94.77368591000005,1,0,20,39.0809062645707,7.24732070381882,39.0809062645707,7.247320703818821,11646.40779289395,8.58301822,0,-243.4946997498865,373.0595702941804,-0.001407994150301191,0,0.2788087908066219,0.5853144397436362,0.01046771744964682,0,0.3465763286138237,0.6637281289593925,0.016219563212900412
