Cell Line,ID,Titer_group,Titer_category,Run Time (hr),input_step,input_step_2000,input_step_400_2000,input_step_80_400_2000,glc,glc_after,glc_feed,osmo,vcd,lac,mu,qglc_poly,qlac_poly,base
80L,295008,Middle 60%,0,0,0,0,0,0,39.8709584082683,,0.0,283.7487836,0.415612012,3.868316241119,-0.1405833997756854,-1.143551282657623,0.5939848714554424,0.0
80L,295008,Middle 60%,0,10,1,1,1,1,38.7525248118297,38.7525248118297,0.0,279.1393086,0.404801201,6.09406041296625,0.0085716199076633,-0.2457858130207308,0.683772598379491,26.686667
80L,295008,Middle 60%,0,20,2,2,2,2,37.8511132629498,37.8511132629498,0.0,279.2868658,0.469223899,8.85901947158081,0.0272442080358499,0.2693180772009985,0.6835901200326517,26.686667
80L,295008,Middle 60%,0,30,3,3,3,3,36.0693207664468,36.0693207664468,0.0,280.3494461,0.650594667,12.3846623445825,0.0181492545223854,0.3957676035073663,0.5378125502294994,26.686667
80L,295008,Middle 60%,0,40,4,4,4,4,33.2720100246453,33.2720100246453,0.0,277.4213549,0.881518367,16.2420564387211,0.0220423890926969,0.3317944002106344,0.4127255284649007,27.263264
80L,295008,Middle 60%,0,50,5,5,5,5,32.0914067030795,32.0914067030795,0.0,279.0579173,1.015951264,19.8035692384547,0.0177199812841278,0.2259630566862879,0.3567123995098994,93.150458
80L,295008,Middle 60%,0,60,6,6,6,6,29.5744678556362,29.5744678556362,0.0,281.6256776,0.945606437,23.5788915408525,-0.0779808595540623,0.0697480137986313,0.363970340289713,190.915169
400L,295008,Middle 60%,0,0,0,0,0,7,57.3632817669131,,0.0,278.4595122,0.366847625,4.3984918294849,-0.0935126541122574,0.1953007036492292,0.2270620019868168,109.353334
400L,295008,Middle 60%,0,10,1,1,1,8,57.0765286751482,57.0765286751482,0.0,284.3131707,0.499490743,5.97059359458259,0.0300491657059038,0.0903270462314835,0.3360177187297669,0.0
400L,295008,Middle 60%,0,20,2,2,2,9,55.9296964297608,55.9296964297608,0.0,286.0004875,0.580183987,7.76917786412078,0.0178096163859918,0.0825109626818767,0.3984330354595396,0.0
400L,295008,Middle 60%,0,30,3,3,3,10,55.4298577732631,55.4298577732631,0.0,291.4413453,0.585218035,10.1189126776198,-0.004859926207484,0.1365433771859233,0.4669667047844903,0.0
400L,295008,Middle 60%,0,40,4,4,4,11,56.1727649370545,56.1727649370545,0.0,298.422,0.636766608,13.1210961478685,0.0141607033521349,0.2217858857986004,0.4619845752753817,0.0
400L,295008,Middle 60%,0,50,5,5,5,12,51.5483042862852,51.5483042862852,0.0,284.022,1.139459841,16.3703167295737,0.0537404600536567,0.2034526614261787,0.2578954493855576,0.0
400L,295008,Middle 60%,0,60,6,6,6,13,50.3212003818912,50.3212003818912,0.0,282.1154902,1.377636345,18.8773018428064,0.019497088448039,0.2552985200178939,0.1976812014201043,36.462711
2000L,295008,Middle 60%,0,0,0,0,7,14,62.2401255578498,,0.0,291.4404156,0.625677288,4.96812960701598,0.0585416130928444,0.1943457911356093,0.2945630054225646,0.0
2000L,295008,Middle 60%,0,10,1,1,8,15,60.9181794111769,60.9181794111769,0.0,295.2572095,0.685077383,6.99164720248667,0.0093203531002106,0.1116575935237523,0.4108807788178096,0.0
2000L,295008,Middle 60%,0,20,2,2,9,16,60.6853893847554,60.6853893847554,0.0,296.0341184,0.878890815,10.2575738565719,0.0149999896995733,0.0863687280492848,0.3848921636985011,0.0
2000L,295008,Middle 60%,0,30,3,3,10,17,59.852367503719,59.852367503719,0.0,294.256604,1.10806658,14.1840010768206,0.030382957551149,0.1081537149141348,0.3200895731966449,0.0
2000L,295008,Middle 60%,0,40,4,4,11,18,57.3052046559648,57.3052046559648,0.0,292.4790895,1.31557427,17.388713732238,0.0309113599738516,0.158328269527256,0.2513672165040426,0.0
2000L,295008,Middle 60%,0,50,5,5,12,19,55.6053337107839,55.6053337107839,0.0,297.6221119,1.610840101,19.9640530861456,0.0126669689452915,0.211853382211769,0.1653256821334897,115.169599
2000L,295008,Middle 60%,0,60,6,6,13,20,50.8760004052043,50.8760004052043,0.0,301.1966775,0.70298082,22.6482341141207,-0.0076287748982233,0.7379283761763857,0.2297979440183959,2751.98036
