Cell Line,ID,Titer_group,Titer_category,Run Time (hr),input_index,glc,glc_after,glc_feed,osmo,vcd,lac,mu,qglc_poly,qlac_poly,base
2000L,295008,Middle 60%,0,0,0,62.2401255578498,,0.0,291.4404156,0.625677288,4.96812960701598,0.0585416130928444,0.1943457911356093,0.2945630054225646,0.0
2000L,295008,Middle 60%,0,10,1,60.9181794111769,60.9181794111769,0.0,295.2572095,0.685077383,6.99164720248667,0.0093203531002106,0.1116575935237523,0.4108807788178096,0.0
2000L,295008,Middle 60%,0,20,2,60.6853893847554,60.6853893847554,0.0,296.0341184,0.878890815,10.2575738565719,0.0149999896995733,0.0863687280492848,0.3848921636985011,0.0
2000L,295008,Middle 60%,0,30,3,59.852367503719,59.852367503719,0.0,294.256604,1.10806658,14.1840010768206,0.030382957551149,0.1081537149141348,0.3200895731966449,0.0
2000L,295008,Middle 60%,0,40,4,57.3052046559648,57.3052046559648,0.0,292.4790895,1.31557427,17.388713732238,0.0309113599738516,0.158328269527256,0.2513672165040426,0.0
2000L,295008,Middle 60%,0,50,5,55.6053337107839,55.6053337107839,0.0,297.6221119,1.610840101,19.9640530861456,0.0126669689452915,0.211853382211769,0.1653256821334897,115.169599
2000L,295008,Middle 60%,0,60,6,50.8760004052043,50.8760004052043,0.0,301.1966775,0.70298082,22.6482341141207,-0.0076287748982233,0.7379283761763857,0.2297979440183959,2751.98036
CL G,295008,Middle 60%,0,0,7,62.8299366104931,62.8299366104931,0.0,301.0285869653208,1.1196298143689312,9.053800309900756,0.0609158695323184,0.1279121373552021,0.3617301301636133,0.0
CL G,295008,Middle 60%,0,10,8,62.1268475654432,62.1268475654432,0.0,297.6622065874792,1.4961628821917194,11.415764993560014,0.0468628440279043,0.0809127382566632,0.1382331685545179,0.0
CL G,295008,Middle 60%,0,20,9,59.3756056417771,59.3756056417771,0.0,295.581110535499,1.6622097416148716,14.103841115974388,0.0358024852202962,0.1161397198123159,0.1368466722628518,0.0
CL G,295008,Middle 60%,0,30,10,56.3431318412931,56.3431318412931,0.0,295.1691484855256,1.938017557539884,16.836006908988008,0.0272691901487858,0.1181127869560873,0.1028510607121639,0.0
CL G,295008,Middle 60%,0,40,11,53.5982740014209,53.5982740014209,0.0,296.9034165493488,2.4398208382785374,19.602439156950663,0.0208345617041025,0.1029683610308476,0.0691240417177115,0.0
CL G,295008,Middle 60%,0,50,12,52.2581909178711,52.2581909178711,0.0,300.4128449190553,3.1179577071563416,21.89701911181132,0.0161074086284132,0.10649542129726,0.0567124356792854,32.615273
CL G,295008,Middle 60%,0,60,13,48.420128122294,48.420128122294,0.0,304.4063319899368,3.842561798288092,23.423146690207133,0.0127337455153223,0.099684286883992,0.0429991665284552,6174.642701
CL G,295008,Middle 60%,0,70,14,44.592901432493,77.4997335727246,32.90683214023159,308.50627573428545,4.408116699285485,24.125999862217075,0.0103967928098717,0.094116093175446,0.0334279146982769,18395.68718
CL G,295008,Middle 60%,0,80,15,73.6725068829236,73.6725068829236,0.0,311.92019921064144,5.115955393385272,24.14931738912268,0.008816976808541,0.0824654561725159,0.0244566657353908,31344.2372899999
CL G,295008,Middle 60%,0,90,16,71.7650590599258,71.7650590599258,0.0,313.5963632383615,5.824941184466237,23.73403882198781,0.0077519296592473,0.0752827382679191,0.0188860080280174,39553.06503
CL G,295008,Middle 60%,0,100,17,67.4386987943782,67.4386987943782,0.0,312.59066291482,6.392482276069514,23.162391723319253,0.006996489361345,0.0766188492531911,0.016474835362191,44662.04311
CL G,295008,Middle 60%,0,110,18,63.3977571660116,63.3977571660116,0.0,312.0884035616803,6.680998150095083,22.84195094997016,0.0063826997656265,0.05083933126342,0.0095054433758957,50146.27457
CL G,295008,Middle 60%,0,120,19,59.2922482182108,59.2922482182108,0.0,308.43247513159247,6.855817483013679,23.01329725569836,0.0057798105743213,0.0651792775189635,0.0107728321725991,57365.34496
CL G,295008,Middle 60%,0,130,20,55.9790983369968,55.9790983369968,0.0,301.78227131622054,6.8378730548172095,23.81981405864617,0.0050942773410968,0.0767998462021118,0.0114396072926217,67598.74397
CL G,295008,Middle 60%,0,140,21,50.9037784697706,50.9037784697706,0.0,294.02197486916043,6.543072902298533,25.15513407367012,0.0042697614710579,0.0773327568376587,0.0106174260153755,80848.81767
CL G,295008,Middle 60%,0,150,22,44.9455275816514,44.9455275816514,0.0,287.31066686552504,6.383380816733458,26.728644231256187,0.0032871302207468,0.0706091025362053,0.0091675414937408,95266.8206799999
CL G,295008,Middle 60%,0,160,23,40.126646856058,40.126646856058,0.0,285.02266625002403,6.212535400461788,28.694485934827213,0.0021644566981434,0.0660216877411646,0.0083371638416803,111679.8364
CL G,295008,Middle 60%,0,170,24,33.5595696618486,33.5595696618486,0.0,283.7292759173976,6.116204380996096,30.831884898410685,0.0009570198626652,0.0973913698897893,0.0123182331516465,129821.3658
CL G,295008,Middle 60%,0,180,25,27.6493323453007,27.6493323453007,0.0,282.3579511837059,6.116104767332981,32.81853576343389,-0.0002426954748326,0.0874893767920666,0.0114113685127615,144677.7431
CL G,295008,Middle 60%,0,190,26,22.5138037756166,22.5138037756166,0.0,282.73818037391084,6.236085478641244,34.267954978584235,-0.0013049986520578,0.074209297855971,0.0102593957660282,152949.5567
CL G,295008,Middle 60%,0,200,27,18.4700045238571,18.4700045238571,0.0,283.6638858992247,6.56796072655517,35.03662478263615,-0.0020629931552802,0.0719088738007194,0.0108007077692883,155028.479299999
CL G,295008,Middle 60%,0,210,28,14.6427778340561,44.8137882198082,30.171010385752105,284.69611997560094,6.626597514129696,35.108715725761435,-0.0023125766193319,0.0720338305200607,0.0120090518922208,164597.5697
CL G,295008,Middle 60%,0,220,29,40.9865615300073,40.9865615300073,0.0,285.65306748729915,6.709973529718846,34.564749827203975,-0.0018124408276079,0.0612469071643061,0.0115408738374101,172548.8435
CL G,295008,Middle 60%,0,230,30,37.9779070749794,37.9779070749794,0.0,286.7920971310198,6.853428330981454,33.85226958300171,-0.0002840717120655,0.0561089753351055,0.0121347177538264,172870.7101
CL G,295008,Middle 60%,0,240,31,34.7470404149736,34.7470404149736,0.0,287.7488677989354,7.009976985985096,32.94314334034229,0.0025882506467757,0.0705450919606587,0.0177443437940204,172892.3035
CL G,295008,Middle 60%,0,250,32,27.547051155665,27.547051155665,0.0,287.6762147361099,7.06445838272984,32.00885958962277,0.0071574520198336,0.0557419405744952,0.016504003670427,172892.3035
2000L,295009,Top 20%,1,0,0,64.5847380603477,,0.0,294.5468563,0.304274151,4.16333017317939,0.2835500914628044,0.3122306794745661,0.7727282276392753,0.0
2000L,295009,Top 20%,1,10,1,62.8475432958103,62.8475432958103,0.0,297.2414671,0.797036337,6.84351123445825,0.0434401063922205,0.2346798483624558,0.4023751411729912,227.285048
2000L,295009,Top 20%,1,20,2,61.0436733719665,61.0436733719665,0.0,297.4657993,0.95150184,10.3618868894316,-0.0034364185931737,0.2598297576274011,0.3941801285420214,240.026668
2000L,295009,Top 20%,1,30,3,58.4421599613668,58.4421599613668,0.0,296.7223048,1.136285714,14.4025440941385,0.0143372678799521,0.2424954382568026,0.3504292515949459,240.026668
2000L,295009,Top 20%,1,40,4,55.0927617675792,55.0927617675792,0.0,295.9581542,1.536941748,18.4822474800177,0.0266274252152919,0.1769717012742437,0.253803706871534,240.026668
2000L,295009,Top 20%,1,50,5,53.1124953262727,53.1124953262727,0.0,293.3133114,1.828203883,21.72963125,0.0217498208469009,0.1294066683557168,0.1918519058292959,240.026668
2000L,295009,Top 20%,1,60,6,50.8106494482559,50.8106494482559,0.0,296.8181818,2.684709469,25.2959583259325,0.0464697302391979,0.0630622557745774,0.1043600488322377,2556.854206
CL G,295009,Top 20%,1,0,7,62.0865921756699,62.0865921756699,0.0,299.4269201020925,1.1867340252092924,11.67594538400216,0.0362208473918602,0.0840341955094708,0.2729630620367389,7.204862
CL G,295009,Top 20%,1,10,8,61.2622249050822,61.2622249050822,0.0,299.0745498202121,1.4292254719853843,13.897962548473576,0.0336183104365979,0.0868648572003344,0.1513966130495681,10.13469
CL G,295009,Top 20%,1,20,9,60.4378576344945,60.4378576344945,0.0,298.6773709111182,1.6254144045577217,16.504695577832397,0.0304056568510608,0.0953908155672997,0.1077241755091871,120.200008
CL G,295009,Top 20%,1,30,10,59.9800703834454,59.9800703834454,0.0,298.6042988589697,2.048477641402419,19.13661351542246,0.0268217481935558,0.092146233806284,0.0732765372897956,120.200008
CL G,295009,Top 20%,1,40,11,59.3635300517329,59.3635300517329,0.0,299.3378434665457,2.672390682055042,21.490777372057824,0.0230766218169098,0.1157902197508179,0.0676705404540041,120.200008
CL G,295009,Top 20%,1,50,12,51.7578301139012,51.7578301139012,0.0,301.7048201781081,3.4176172714196014,23.37130264004424,0.0193514908684695,0.1034792157548575,0.0454007656685491,120.200008
CL G,295009,Top 20%,1,60,13,47.0585448278158,47.0585448278158,0.0,303.15026314011413,4.153539395855627,24.51108646924845,0.0157987442901017,0.0909358068483653,0.030151178718332,7581.401067
CL G,295009,Top 20%,1,70,14,44.0036331389339,75.0669976033117,31.063364464377806,307.433573526233,4.771459648811811,24.83872395785524,0.0125419468181929,0.0812029787884341,0.0202179621916894,18155.63959
CL G,295009,Top 20%,1,80,15,72.0120859144297,72.0120859144297,0.0,305.76000298933934,5.390011656341265,24.307973964468168,0.0096758389836496,0.0736729236553166,0.0134819831311268,20920.30144
CL G,295009,Top 20%,1,90,16,70.3415134105997,70.3415134105997,0.0,304.32833134646205,5.851191814426497,23.14462760484919,0.0072663371118982,0.0668971543718241,0.0086089963675271,20971.64623
CL G,295009,Top 20%,1,100,17,67.1802096516352,67.1802096516352,0.0,303.8864386980924,6.161454564716098,22.069893601859864,0.0053505333228849,0.0621520502347847,0.0051487942159119,24633.56478
CL G,295009,Top 20%,1,110,18,64.1657307000599,64.1657307000599,0.0,303.7401056116193,6.323600635164995,20.95872243383721,0.0039366955310759,0.0557070516323036,0.0024095144686768,27950.47958
CL G,295009,Top 20%,1,120,19,59.8425521214947,59.8425521214947,0.0,302.08723319104314,6.396083845590437,20.071187016882583,0.0030042674454573,0.0740864859442597,0.0006189022858635,31498.0727999999
CL G,295009,Top 20%,1,130,20,55.2510284253646,55.2510284253646,0.0,296.9126161578004,6.385625448157018,20.158350722088265,0.0025038685695351,0.0785964948098612,-0.001809591846255,37007.36263
CL G,295009,Top 20%,1,140,21,50.6240055840493,50.6240055840493,0.0,291.3632592771056,6.24387678689974,20.967489642023928,0.0023572942013352,0.0772368207199296,-0.0039996052004667,45593.03081
CL G,295009,Top 20%,1,150,22,46.292198189347,46.292198189347,0.0,285.37853050661136,6.198428891849453,22.17836507463133,0.0024575154334032,0.0707421784054663,-0.0055645072645317,56098.56293
CL G,295009,Top 20%,1,160,23,42.4647887608517,42.4647887608517,0.0,282.9531316728484,6.331285574774966,23.33649947761792,0.0026686791528049,0.0675875097480299,-0.007047805032277,66577.04323
CL G,295009,Top 20%,1,170,24,35.1677423455227,35.1677423455227,0.0,282.1135174331851,6.542757694151163,24.199280340116964,0.0028261080411258,0.0756169848806816,-0.0097702644982792,83330.8811999999
CL G,295009,Top 20%,1,180,25,30.9694474788516,30.9694474788516,0.0,280.83856646462414,6.752995825214564,24.598104963663275,0.0027363005744714,0.0631519272726043,-0.0097258655474412,88254.42024
